Kanji,Reading,,,,
あ,あ,A,a,Một,아
ああ,ああ,Ah,ah,à,아
あいさつ,あいさつ,Salam,Greetings,Chào bạn,인사말
間,あいだ,di antara,between,giữa,사이
合う,あう,bugar,fit,phù hợp,맞다
あかちゃん,あかちゃん,Sayang,baby,Đứa bé,아카짱
上る,あがる,mendaki,climb,leo,오르다
赤ん坊,あかんぼう,Sayang,baby,Đứa bé,아기
空く,あく,kosong,empty,trống,비우다
アクセサリー,アクセサリー,aksesoris,accessories,phụ kiện,액세서리
あげる,あげる,memberi,give,đưa cho,올리다
浅い,あさい,dangkal,shallow,nông,얕은
味,あじ,mencicipi,taste,nếm,맛
アジア,アジア,Asia,Asia,Châu Á,아시아
明日,あす,besok,tomorrow,Ngày mai,내일
遊び,あそび,bermain,play,chơi,놀이
集る,あつまる,Mengumpulkan,Gather,Tập trung,모으다
集める,あつめる,mengumpulkan,collect,sưu tầm,모으다
アナウンサー,アナウンサー,penyiar,announcer,người phát thanh viên,아나운서
アフリカ,アフリカ,Afrika,Africa,Châu phi,아프리카
アメリカ,アメリカ,Amerika,America,Nước Mỹ,미국
謝る,あやまる,meminta maaf,apologize,xin lỗi,사과하다
アルコール,アルコール,alkohol,alcohol,rượu bia,알코올
アルバイト,アルバイト,pekerjaan paruh waktu,part-time job,công việc bán thời gian,아르바이트
安心,あんしん,ketenangan pikiran,peace of mind,sự an tâm,안심
安全,あんぜん,keamanan,safety,sự an toàn,안전
あんな,あんな,Itu,That,Cái đó,그렇게
案内,あんない,panduan,guidance,hướng dẫn,안내
以下,いか,di bawah,below,dưới,다음
以外,いがい,Selain daripada,other than,ngoài ra,이외
医学,いがく,obat,medicine,thuốc,의학
生きる,いきる,hidup,live,sống,살다
意見,いけん,pendapat,opinion,ý kiến,의견
石,いし,batu,stone,cục đá,돌
いじめる,いじめる,menggertak,bully,bắt nạt,괴롭히다
以上,いじょう,Itu saja.,That's all.,Vậy thôi.,이상
急ぐ,いそぐ,Buru-buru,Hurry,Sự vội vàng,서두르다
致す,いたす,Mengerjakan,do,LÀM,치다
いただく,いただく,Saya akan,I will,Tôi sẽ,받다
一度,いちど,suatu waktu,one time,một lần,한 번
一生懸命,いっしょうけんめい,berusahalah sekeras mungkin,try as hard as one can,cố gắng hết sức có thể,열심히
いっぱい,いっぱい,penuh,full,đầy,가득
糸,いと,benang,thread,chủ đề,실
以内,いない,di dalam,within,ở trong,이내
田舎,いなか,pedesaan,countryside,nông thôn,시골
祈る,いのる,berdoa,pray,cầu nguyện,기도하다
いらっしゃる,いらっしゃる,Apa kamu di sana?,Are you there?,Bạn có ở đó không?,오세요
植える,うえる,tanaman,plant,thực vật,심다
うかがう,うかがう,untuk berkunjung,to visit,để ghé thăm,우카가
受付,うけつけ,penerimaan,reception,thu nhận,접수
受ける,うける,menerima,receive,nhận được,받다
動く,うごく,Bergerak,Move,Di chuyển,움직이는
うそ,うそ,berbohong,lie,nói dối,거짓말
うち,うち,rumah,home,trang chủ,집
打つ,うつ,memukul,strike,đánh đập,치다
美しい,うつくしい,cantik,beautiful,xinh đẹp,아름다운
写す,うつす,Menyalin,Copy,Sao chép,사진
移る,うつる,Bergerak,Move,Di chuyển,이동
腕,うで,lengan,arm,cánh tay,팔
うまい,うまい,Bagus,good,Tốt,잘하다
裏,うら,kembali,back,mặt sau,뒤
売り場,うりば,Lantai penjualan,Sales floor,Khu vực bán hàng,판매장
うれしい,うれしい,senang,happy,vui mừng,즐거운
うん,うん,Ya,Yeah,Vâng,그래
運転,うんてん,penggerak,driving,lái xe,운전
運転手,うんてんしゅ,pengemudi,driver,tài xế,운전자
運動,うんどう,gerakan,motion,cử động,운동
エスカレーター,エスカレーター,eskalator,escalator,thang cuốn,에스컬레이터
枝,えだ,cabang,branch,chi nhánh,가지
選ぶ,えらぶ,memilih,choose,chọn,선택
遠慮,えんりょ,menahan diri,refrain,điệp khúc,삼가
おいでになる,おいでになる,Mereka akan datang,They are coming,Họ đang đến,가자.
お祝い,おいわい,Perayaan,Celebration,Lễ ăn mừng,축하
オートバイ,オートバイ,sepeda motor,motorcycle,xe máy,오토바이
おかげ,おかげ,Terima kasih,Thanks,Cảm ơn,덕분에
おかしい,おかしい,aneh,strange,lạ lùng,이상한
億,おく,seratus juta,hundred million,trăm triệu,억
屋上,おくじょう,atap,rooftop,sân thượng,옥상
贈り物,おくりもの,hadiah,gift,quà ,선물
送る,おくる,mengirim,send,gửi,보내다
遅れる,おくれる,Terlambat,Delayed,Bị trì hoãn,지연
起す,おこす,menyebabkan,cause,gây ra,일어나다
行う,おこなう,mengadakan,conduct,chỉ đạo,할
怒る,おこる,amarah,anger,sự tức giận,화난
