Kanji,Reading,Kanji,Kanji,Kanji,Kanji
あいかわらず,あいかわらず,Ide,Ideas,Ý tưởng,아이디어
アイデア,アイデア,Ide,Ideas,Ý tưởng,아이디어
アイデア,アイ,Ai,Ai,Ai,눈
アイ,アイデア,Ai,Ai,Ai,눈
アイ,アイ,Sayang,Dear,Kính thưa,디어
ディア,ディア,Ambigu,Ambiguous,Không rõ ràng,모호한
あいまい,あいまい,untuk bertemu,to meet,để gặp gỡ,만나다
遭う,あう,penggemar,fan,cái quạt,부채
扇ぐ,あおぐ,pucat,pale,tái nhợt,블루 화이트
青白い,あおじろい,Sayang,baby,Đứa bé,아칸보우
あかんぼう,あかんぼう,Terang,Bright,Sáng,밝은
明き,あき,Saya merasa ngeri.,I'm appalled.,Tôi vô cùng kinh ngạc.,포기하다
あきれる,あきれる,aksen,accent,giọng,악센트
アクセント,アクセント,menguap,yawn,ngáp,하품
あくび,あくび,Sampai akhir,To the end,Đến cuối cùng,지루할 때까지
飽くまで,あくまで,fajar,dawn,bình minh,새벽
明け方,あけがた,menggoreng,fry,chiên rán,튀기다
揚げる,あげる,mengangkat,raise,nâng lên,언급하다
挙げる,あげる,Saya mengagumi,I admire,Tôi ngưỡng mộ,동경하다
憧れる,あこがれる,jejak kaki,footprints,dấu chân,발자국
足跡,あしあと,mencicipi,taste,nếm,맛보자
味わう,あじわう,menjaga,look after,chăm sóc,맡기다
預かる,あずかる,hangat,warm,ấm,따뜻한
暖まる,あたたまる,hangat,warm,ấm,데우다
暖める,あたためる,Tentu saja,Of course,Tất nhiên rồi,당연히
あたりまえ,あたりまえ,Ahira,Ahira,Ahira,아히라
あひら,あひら,Di sana sini,Here and there,Ở đây đó,여기 여기
あちらこちら,あちらこちら,kurang ajar,impudent,hỗn xược,두꺼운
厚かましい,あつかましい,kompresi,compression,nén,압축
圧縮,あっしゅく,alamat,address,Địa chỉ,주소
宛名,あてな,Berlaku,Applies,Áp dụng,맞다
あてはまる,あてはまる,untuk melamar,to apply,để ứng tuyển,맞추다
あてはめる,あてはめる,Berbuat liar,Going wild,Điên cuồng,날뛰다
暴れる,あばれる,gemuk,fat,mập,지방
脂,あぶら,memanggang,roast,thịt nướng,아부루
あぶる,あぶる,meluap,overflowing,tràn ngập,넘치다
あふれる,あふれる,Penutup jendela,Shutters,Cửa chớp,우도
雨戸,あまど,terlalu memanjakan,pamper,nuông chiều,달콤한
甘やかす,あまやかす,sisa,leftover,còn lại,남다
余る,あまる,rajutan,knitting,đan len,편물
編物,あみもの,rajutan,knitting,đan len,뜨개질
編む,あむ,Berbahaya,Dangerous,Nguy hiểm,위험한
危うい,あやうい,mencurigakan,suspicious,khả nghi,수상한
怪しい,あやしい,kasar,rough,thô,거친
荒い,あらい,kasar,rough,thô,거친
粗い,あらい,Ringkasan,Synopsis,Tóm tắt,줄거리
あらすじ,あらすじ,untuk bertarung,to fight,để chiến đấu,싸우다
争う,あらそう,lagi,again,lại,다시
改めて,あらためて,mengubah,change,thay đổi,수정하다
改める,あらためる,Pengarang,Author,Tác giả,눈에 띄다
著す,あらわす,Terima kasih,Thank you,Cảm ơn,고맙다
有難い,ありがたい,ada,exist,hiện hữu,존재하다
在る,ある,berbagai hal,various things,nhiều thứ khác nhau,이거
あれこれ,あれこれ,Sibuk sekali,Hectic,Hối hả,어리석은
あわただしい,あわただしい,panik,panic,hoảng loạn,맞다
あわてる,あわてる,Mudah,Easy,Dễ,안이
安易,あんい,mendadak,unexpectedly,bất ngờ,의외
案外,あんがい,antena,antenna,ăng-ten,안테나
アンテナ,アンテナ,mencairkan suasana,break the ice,phá vỡ sự im lặng,말하기
言い出す,いいだす,memberi tahu,tell,kể,말하다
言い付ける,いいつける,makna,significance,ý nghĩa,의미
意義,いぎ,hidup,lively,sống động,생생한
生き生き,いきいき,Tiba-tiba,Suddenly,Đột nhiên,갑자기
いきなり,いきなり,Pengasuhan anak,Childcare,Chăm sóc trẻ em,육아
育児,いくじ,agak,somewhat,phần nào,다소
幾分,いくぶん,rangkaian bunga,flower arrangement,cắm hoa,꽃꽂이
生け花,いけばな,Sejak saat itu,From then on,Từ đó trở đi,이후
以後,いご,selanjutnya,onwards,tiếp tục,이후
以降,いこう,setara,equal,bình đẳng,이콜
イコール,イコール,berani,brave,can đảm,용감한
勇ましい,いさましい,"Pakaian, makanan, dan tempat tinggal","Clothing, food, and shelter","quần áo, thực phẩm và chỗ ở",의식주
衣食住,いしょくじゅう,berarti,mean,nghĩa là,악의
意地悪,いじわる,Setiap orang,Each and every,Mỗi và mọi,일이치
いちいち,いちいち,Untuk saat ini,For now,Hiện tại,일단
一応,いちおう,Bahkan lebih,Even more,Thậm chí còn hơn thế nữa,한층 더
一段と,いちだんと,kedudukan tertinggi,top notch,hàng đầu,일류
一流,いちりゅう,佚,佚,佚,부
佚,いつ,dua hari yang lalu,the day before yesterday,hôm kia,어제
一昨日,いっさくじつ,Dua tahun yang lalu,The year before last,Năm trước nữa,재작년
一昨年,いっさくねん,serentak,simultaneous,đồng thời,일제
一斉,いっせい,Sekali,Once,Một lần,일단
一旦,いったん,konstan,constant,không thay đổi,일정
一定,いってい,Semoga perjalananmu menyenangkan!,Have a good trip!,Chúc bạn có một chuyến đi tốt đẹp!,가자.
いっていらっし,いっていらっし,Yai,Yai,Yai,짱
ゃい,ゃい,Semoga harimu menyenangkan!,Have a good day!,Chúc bạn một ngày tốt lành!,가자.
いってらっしゃ,いってらっしゃ,perut,stomach,cái bụng,이
い,い,Aku pergi dulu!,I'm off!,Tôi đi đây!,말하자.
いってまいりま,いってまいりま,cuka,vinegar,giấm,수
す,す,Sebelum aku menyadarinya,Before I knew it,Trước khi tôi kịp nhận ra điều đó,언젠가
いつのまにか,いつのまにか,transfer,transfer,chuyển khoản,이전
移転,いてん,Sehat,well,Tốt,우물
井戸,いど,lintang,latitude,vĩ độ,위도
緯度,いど,sepupu,cousin,anh em họ,종자매
従姉妹,いとこ,menjadi sombong,to be arrogant,kiêu ngạo,위장하다
威張る,いばる,Enggan,Reluctant,Miễn cưỡng,싫어하는
嫌がる,いやがる,Akhirnya,Finally,Cuối cùng,드디어
いよいよ,いよいよ,memanggang,roast,thịt nướng,볶다
煎る,いる,memanggang,roast,thịt nướng,볶다
炒る,いる,wadah,container,thùng chứa,입상
入れ物,いれもの,Tinta,Ink,Mực,잉크
インキ,インキ,Wawancara,Interview,Phỏng vấn,인터뷰
インタビュー,インタビュー,gaya berat,gravity,trọng lực,인력
引力,いんりょく,Wanita,Woman,Đàn bà,우먼
ウーマン,ウーマン,wol,wool,len,울
ウール,ウール,pelayan,waitress,nữ phục vụ,웨이트리스
ウエートレス,ウエートレス,Pohon,Trees,Cây,식물
植木,うえき,merasa lapar,to be hungry,đói,굶주림
飢える,うえる,terjadi,occur,xảy ra,떠다니는
浮ぶ,うかぶ,mengambang,float,trôi nổi,떠다니는
浮かべる,うかべる,mengambang,float,trôi nổi,뜨다
浮く,うく,Saya menerima permintaan Anda.,I accept your request.,Tôi chấp nhận yêu cầu của bạn.,받다
承る,うけたまわる,Kuitansi,Receipt,Biên lai,수령
受取,うけとり,Bertanggung jawab,Responsible,Chịu trách nhiệm,받다
受け持つ,うけもつ,redup,dim,mờ,희미한
薄暗い,うすぐらい,mencairkan,dilute,pha loãng,엷게 하다
薄める,うすめる,Pertemuan,Meeting,Cuộc họp,회의
打合せ,うちあわせ,meniadakan,negate,phủ định,극복하다
打ち消す,うちけす,menyerang,attack,tấn công,토벌하다
討つ,うつ,tanpa sengaja,inadvertently,vô tình,실망
うっかり,うっかり,proyek,project,dự án,비추다
映す,うつす,Foto,Photo,Ảnh,찍다
写る,うつる,mencerminkan,reflected,phản ánh,비치다
映る,うつる,Udon,Udon,Udon,우동
うどん,うどん,ada atau tidak ada,presence or absence,sự hiện diện hoặc vắng mặt,유무
有無,うむ,mengisi,fill in,điền vào,채우다
埋める,うめる,memuja,worship,tôn thờ,존경하다
敬う,うやまう,Balikkan bagian dalamnya ke luar,Turn it inside out,Lật ngược nó lại.,뒤집다
裏返す,うらがえす,pintu belakang,back door,cửa sau,뒷문
裏口,うらぐち,Meramal nasib,To tell fortunes,Để bói toán,점유하다
占う,うらなう,Sakit hati,Grudge,Thù hận,원한
恨み,うらみ,membenci,resent,bất bình,원망하다
恨む,うらむ,patut dic羡慕,enviable,đáng ghen tị,부러워
羨ましい,うらやましい,iri,envy,ghen tỵ,부러움
羨む,うらやむ,Penjualan,Sales,Việc bán hàng,판매
売上,うりあげ,terjual habis,sold out,bán hết,매진
売り切れ,うりきれ,Terjual habis,Sold out,Bán hết,매진
売り切れる,うりきれる,penjualan,sales,việc bán hàng ,판매
売行き,うれゆき,berkeliaran,wandering around,đi lang thang xung quanh,우로
うろうろ,うろうろ,kanal,canal,kênh đào,운하
運河,うんが,Hmm,Hmm,Ừm,그래
うんと,うんと,Bahasa inggris,English,Tiếng Anh,영문
英文,えいぶん,Bahasa Inggris-Jepang,English-Japanese,Tiếng Anh-Tiếng Nhật,영화
英和,えいわ,Kamu tahu,you know,Bạn biết,음
ええと,ええと,cairan,liquid,chất lỏng,액체
液体,えきたい,etiket,etiquette,nghi thức,에티켓
エチケット,エチケット,cat,paints,sơn,페인트
絵の具,えのぐ,celemek,apron,tạp dề,앞치마
エプロン,エプロン,Besar,great,Tuyệt,좋은
偉い,えらい,perjamuan,banquet,tiệc,연회
宴会,えんかい,berkebun,gardening,làm vườn,원예
園芸,えんげい,teater,theater,nhà hát,연극
演劇,えんげき,lingkar,circumference,đường tròn,원주
円周,えんしゅう,karyawisata,field trip,chuyến đi thực địa,소풍
遠足,えんそく,perpanjangan,extension,sự mở rộng,연장
延長,えんちょう,cerobong asap,chimney,ống khói,굴뚝
煙突,えんとつ,Mengejar,Chase,Đuổi,쫓는
追い掛ける,おいかける,menyusul,overtake,vượt qua,추월하다
追い越す,おいこす,minyak,oil,dầu,기름
オイル,オイル,mendukung,support,ủng hộ,응원
応援,おうえん,putri,princess,công chúa,공주
王女,おうじょ,Menanggapi,Respond,Trả lời,응하다
応ずる,おうずる,Penerimaan,Reception,Thu nhận,응접
応接,おうせつ,Pelayanan pelanggan,Customer service,Dịch vụ khách hàng,응대
応対,おうたい,perjalanan pulang pergi,round trip,chuyến đi khứ hồi,왕복
往復,おうふく,Eropa dan Amerika,Europe and America,Châu Âu và Mỹ,서양
欧米,おうべい,aplikasi,application,ứng dụng,응용
応用,おうよう,orkestra,orchestra,dàn nhạc,오케스트라
オーケストラ,オーケストラ,Kasar,Rough,Thô,오자빠
おおざっぱ,おおざっぱ,Jalan utama,Main street,Đường chính,대로
大通り,おおどおり,Otomatisasi,Automation,Tự động hóa,자동화
オートメーショ,オートメーショ,Hmm,hmm,hừm,N
ン,ン,Mantel,Overcoat,Áo khoác ngoài,오버코트
オーバーコート,オーバーコート,sekitar,approximately,khoảng,대범
大凡,おおよそ,Selamat Datang kembali,Welcome back,Chào mừng trở lại!,귀가
お帰り,おかえり,Silakan menelepon.,Please make a call.,Vui lòng gọi điện.,보내주세요.
おかけください,おかけください,Terima kasih kepadamu,Thanks to you,Cảm ơn bạn,덕분에
おかげさまで,おかげさまで,Lauk pauk,Side dishes,Món ăn kèm,반찬
おかず,おかず,memuja,worship,tôn thờ,숭배하다
拝む,おがむ,Isi ulang,Refill,Nạp lại,대체
お代わり,おかわり,mengimbangi,compensate,đền bù,보충하다
補う,おぎなう,Aku turut berduka cita untukmu.,I'm so sorry for you.,Tôi rất tiếc cho bạn.,오키노쿠쿠
おきのどくに,おきのどくに,Luar ruangan,Outdoor,Ngoài trời,옥외
屋外,おくがい,istri,wife,vợ,오쿠산
おくさん,おくさん,Okurigana,Okurigana,Okurigana,보내는 가명
送り仮名,おくりがな,Hati-hati,Take care,Bảo trọng,오키니
おげんきで,おげんきで,menjadi malas,to be lazy,lười biếng,게으른
怠る,おこたる,menekan,suppress,kìm nén,누르다
押える,おさえる,Teruskan,Go ahead,Cứ tiếp tục đi,오사키
おさきに,おさきに,untuk membayar,to pay,để trả tiền,납부하다
納める,おさめる,untuk memerintah,to govern,để cai trị,치료하다
治める,おさめる,Sungguh disayangkan,What a shame,Thật đáng tiếc,아쉬운
惜しい,おしい,Membungkuk,Bowing,Cúi chào,미사의
御辞儀,おじぎ,paman,uncle,chú ,백부씨
伯父さん,おじさん,Paman,Uncle,Chú,아버지
小父さん,おじさん,Paman,Uncle,Chú,삼촌
叔父さん,おじさん,Bergaya,Stylish,Phong cách,세련된
おしゃれ,おしゃれ,Maaf mengganggu.,Excuse me for intruding.,Xin lỗi vì đã xen vào.,죄송합니다.
おじゃまします,おじゃまします,diajarkan,be taught,được dạy,가르치다
教わる,おそわる,Hati-hati di jalan.,Take care.,Bảo trọng.,오다이지에
おだいじに,おだいじに,Tenang,Calm down,Bình tĩnh nào,침착하다
落着く,おちつく,Mitarai,Mitarai,Mitarai,화장실
御手洗,おてあらい,Keluar rumah,Going out,Đi ra ngoài,외출
お出掛け,おでかけ,Membantu,Help,Giúp đỡ,도움
お手伝いさ,おてつだいさん,untuk menakut-nakuti,to scare,để dọa,어리석은
おどかす,おどかす,Barang hilang dan ditemukan,Lost and found,Đồ thất lạc,낙하물
落し物,おとしもの,Dua hari yang lalu,The day before yesterday,Hôm kia,오토이
おととい,おととい,Dua tahun yang lalu,The year before last,Năm trước nữa,오토시
おととし,おととし,Lembut,Gentle,Dịu dàng,친절한
おとなしい,おとなしい,kejutan,surprise,sự ngạc nhiên,놀라다
驚かす,おどろかす,Silakan.,Please.,Vui lòng.,감사합니다.
おねがいします,おねがいします,setiap,each,mỗi,각각
各々,おのおの,tante,aunt,dì,백모씨
伯母さん,おばさん,tante,aunt,dì,이모
叔母さん,おばさん,Selamat pagi,good morning,Chào buổi sáng,좋은 아침
おはよう,おはよう,Mengunjungi kuil,Visiting a shrine,Viếng thăm đền thờ,참배
お参り,おまいり,Maaf telah membuat Anda menunggu.,Sorry to keep you waiting.,Xin lỗi vì đã để bạn chờ.,미안해.
おまたせしまし,おまたせしまし,Ta,Ta,Ta,다
た,た,Harap tunggu.,Please wait.,Vui lòng chờ.,오세요.
おまちください,おまちください,Terima kasih atas kesabarannya.,Thank you for waiting.,Cảm ơn bạn đã chờ đợi.,오마치도 오사마
おまちどおさま,おまちどおさま,Selamat!,Congratulations!,Chúc mừng!,축하해
おめでたい,おめでたい,Tidak terduga,Unexpected,Không ngờ tới,생각나지 않는
思い掛けな,おもいがけない,untuk berasumsi,to assume,giả định,생각하다
思い込む,おもいこむ,Sepenuhnya,To the fullest,Hoàn toàn,마음껏
思いっ切り,おもいっきり,Terlintas dalam pikiran,Come to mind,Hiện lên trong tâm trí,떠오르다
思い付く,おもいつく,berat,heavy,nặng,무거운
重たい,おもたい,Selamat malam,good night,Chúc ngủ ngon,잘자요
おやすみ,おやすみ,camilan,snack,đồ ăn vặt,간식
おやつ,おやつ,ibu jari,thumb,ngón tay cái,엄지손가락
親指,おやゆび,organ,organ,cơ quan,오르간
オルガン,オルガン,grosir,wholesale,bán buôn,도매하다
卸す,おろす,keuntungan,benefit,lợi ích,혜택
恩恵,おんけい,rumah kaca,greenhouse,nhà kính,온실
温室,おんしつ,mata air panas,hot spring,suối nước nóng,온천
温泉,おんせん,Sedang,Temperate,Ôn đới,온대
温帯,おんたい,Kepada pihak yang berkepentingan,To whom it may concern,Kính gửi những người có liên quan,미나카
御中,おんちゅう,wanita,woman,đàn bà,여인
女の人,おんなのひと,nyamuk,mosquito,muỗi,모기
蚊,か,melengkung,curve,đường cong,커브
カーブ,カーブ,kerang,shellfish,động vật có vỏ,조개
貝,かい,Pembukaan,Opening,Khai mạc,개회
開会,かいかい,Aula,Hall,Sảnh,회관
会館,かいかん,Gerbang tiket,Ticket gate,Cổng soát vé,개찰
改札,かいさつ,pembubaran,dissolution,sự giải thể,해산
解散,かいさん,Berenang di laut,Swimming in the sea,Bơi lội trong biển,해수욕
海水浴,かいすいよく,Jumlah kali,Number of times,Số lần,횟수
回数,かいすう,Buku tiket,Ticket book,Sổ vé,회수권
回数券,かいすうけん,Amandemen,Amendment,Sửa đổi,개정
改正,かいせい,Langit cerah,Clear skies,Bầu trời trong xanh,쾌청
快晴,かいせい,Penjelasan,Explanation,Giải thích,해설
解説,かいせつ,modifikasi,modification,sửa đổi,개조
改造,かいぞう,Pembukaan,Opening,Khai mạc,개통
開通,かいつう,memutar,rotate,quay,회전
回転,かいてん,menjawab,answer,trả lời,답
解答,かいとう,menjawab,answer,trả lời,답변
回答,かいとう,luar,external,bên ngoài,외부
外部,がいぶ,melepaskan,release,giải phóng,해방
解放,かいほう,membuka,open,mở,개방
開放,かいほう,laut,ocean,đại dương,해양
海洋,かいよう,Ringkasan,Overview,Tổng quan,개론
概論,がいろん,Kirim kembali,Send back,Gửi lại,돌아가다
帰す,かえす,lebih tepatnya,rather,hơn là,거절
却って,かえって,Mengganti,Replace,Thay thế,대체하다
代える,かえる,membengkokkan,to bend,uốn cong,휘다
反る,かえる,rumah,house,căn nhà,주택
家屋,かおく,untuk terlibat,to be involved,tham gia,관련
係わる,かかわる,Pos tercatat,Registered mail,Thư bảo đảm,등기
書留,かきとめ,kaligrafer,calligrapher,người viết thư pháp,쓰기
書取,かきとり,pagar,hedge,hàng rào,울타리
垣根,かきね,menggores,scratch,cào,긁는
掻く,かく,bau,smell,mùi,냄새
嗅ぐ,かぐ,khayali,fictional,hư cấu,가상
架空,かくう,Setiap orang,Each person,Mỗi người,각자
各自,かくじ,Ekspansi,Expansion,Mở rộng,확충
拡充,かくじゅう,akademik,academic,học thuật,학술
学術,がくじゅつ,berbagai tempat,various places,nhiều nơi,각지
各地,かくち,ekspansi,expansion,sự mở rộng,확장
拡張,かくちょう,sudut,angle,góc,각도
角度,かくど,Nilai,Grade,Cấp,학년
学年,がくねん,Fakultas,Faculty,Giảng viên,학부
学部,がくぶ,Luar biasa,Exceptional,Xuất sắc,각별
格別,かくべつ,kemungkinan,probability,xác suất,확률
確率,かくりつ,Kemampuan akademis,Academic ability,Khả năng học tập,학력
学力,がくりょく,perkalian,multiplication,phép nhân,곱셈
掛け算,かけざん,Disetujui,Approved,Tán thành,통과
可決,かけつ,kawah,crater,miệng núi lửa,화구
火口,かこう,turun,descent,xuống,하강
下降,かこう,tumpang tindih,overlapping,chồng chéo,중첩
重なる,かさなる,tumpang tindih,overlap,sự chồng chéo,겹치다
重ねる,かさねる,dekorasi,decoration,trang trí,장식
飾り,かざり,gunung berapi,volcano,núi lửa,화산
火山,かざん,Dipahami.,Understood.,Đã hiểu.,카시 코 마리 마시
かしこまりまし,かしこまりまし,Ta,Ta,Ta,다
た,た,pinjaman,lending,cho vay,대출
貸し出し,かしだし,Kelalaian,Negligence,Sự bất cẩn,과실
過失,かしつ,buah,fruit,hoa quả,열매
果実,かじつ,Kamar untuk disewa,Room for rent,Cho thuê phòng,임대
貸間,かしま,Rumah sewa,Rental house,Nhà cho thuê,대여
貸家,かしや,lokasi,location,vị trí,개소
個所,かしょ,kelebihan,excess,thặng dư,과잉
過剰,かじょう,menggerogoti,gnaw,gặm nhấm,괴롭히다
かじる,かじる,perpajakan,taxation,thuế,과세
課税,かぜい,menggarisbawahi,underline,gạch chân,밑줄
下線,かせん,kaset,cassette,băng cassette,카세트
カセット,カセット,percepatan,acceleration,gia tốc,가속
加速,かそく,percepatan,acceleration,gia tốc,가속도
加速度,かそくど,keras,hard,cứng,단단한
固い,かたい,keras,hard,cứng,단단한
堅い,かたい,Katakana,Katakana,Katakana,가타카나
片仮名,かたかな,Merapikan,Tidy up,Dọn dẹp,정리하다
片付く,かたづく,massa,mass,khối,덩어리
塊,かたまり,mengeras,solidify,đông đặc,굳다
固まる,かたまる,SATU ARAH,One way,Một chiều,편도
片道,かたみち,memiringkan,tilt,nghiêng,기울다
傾く,かたむく,condong,leaning,nghiêng,한쪽
片寄る,かたよる,Departemen,Department,Phòng,학과
学科,がっか,konferensi akademik,academic conference,hội nghị học thuật,학회
学会,がっかい,alat musik,musical instrument,nhạc cụ,악기
楽器,がっき,kelas,class,lớp học,학급
学級,がっきゅう,membawa,carry,mang,담다
担ぐ,かつぐ,tanda kurung,parentheses,dấu ngoặc đơn,괄호
括弧,かっこ,Jenis Huruf,Typeface,Kiểu chữ,활자
活字,かつじ,Aktif,Active,Tích cực,활약
活躍,かつやく,daya hidup,vitality,sức sống,활력
活力,かつりょく,Anggapan,Assumption,Giả định,가정
仮定,かてい,proses,process,quá trình,과정
過程,かてい,kursus,course,khóa học,과정
課程,かてい,kana,kana,kana,가나
仮名,かな,Ejaan Kana,Kana spelling,Cách viết Kana,가나 송
仮名遣い,かなづかい,bel,bell,chuông,종
鐘,かね,pemanas,heating,sưởi ấm,난방
加熱,かねつ,tidak mampu,be unable,không thể,겸하는
兼ねる,かねる,menutupi,cover,che phủ,커버
カバー,カバー,mayoritas,majority,số đông,과반수
過半数,かはんすう,Menutupi,Cover,Che phủ,씌우다
被せる,かぶせる,Ketel,Kettle,Ấm đun nước,솥
釜,かま,kertas bekas,scrap paper,giấy vụn,종이 쓰레기
紙屑,かみくず,Tuhan,God,Chúa,하나님
神様,かみさま,pisau cukur,razor,dao cạo,면도
剃刀,かみそり,gusi,gum,kẹo cao su,껌
ガム,ガム,muatan,cargo,hàng hóa,화물
貨物,かもつ,gatal,itch,ngứa,가려움
かゆい,かゆい,Lagu-lagu populer,Popular songs,Những bài hát nổi tiếng,가요
歌謡,かよう,kerang,shell,vỏ bọc,껍질
殻,から,warna,color,màu sắc,칼라
カラー,カラー,menggoda,tease,trêu chọc,괴롭히다
からかう,からかう,kosong,empty,trống,빈
空っぽ,からっぽ,Karuta,Karuta,Karuta,카루타
かるた,かるた,melayu,wither,héo úa,시들다
枯れる,かれる,kalori,calorie,calo,칼로리
カロリー,カロリー,Untuk menghargai,To cherish,Để trân trọng,귀엽다
かわいがる,かわいがる,kering,dry,khô,말리다
乾かす,かわかす,Haus,Thirsty,Khát,갈증
渇く,かわく,wesel,money order,lệnh chuyển tiền,환율
為替,かわせ,ubin,tile,gạch,기와
瓦,かわら,mengganti,replace,thay thế,대신하다
代る,かわる,selang,interval,khoảng thời gian,간격
間隔,かんかく,ventilasi,ventilation,thông gió,환기
換気,かんき,Terkesan,Impressed,Ấn tượng,감격
感激,かんげき,Kansai,Kansai,Kansai,간사이
関西,かんさい,Melihat,Viewing,Xem,감상
鑑賞,かんしょう,merasa,feel,cảm thấy,느끼다
感ずる,かんずる,tidak langsung,indirect,gián tiếp,간접
間接,かんせつ,kering,dry,khô,건조
乾燥,かんそう,pikiran,thoughts,suy nghĩ,감상
感想,かんそう,pengamatan,observation,quan sát,관측
観測,かんそく,wilayah kutub,polar regions,vùng cực,한대
寒帯,かんたい,Kantor pemerintahan,Government offices,Văn phòng chính phủ,관청
官庁,かんちょう,salah paham,misunderstanding,hiểu lầm,착각
勘違い,かんちがい,pengalengan,canning,đóng hộp,통조림
缶詰,かんづめ,baterai sel kering,dry cell batteries,pin khô,건전지
乾電池,かんでんち,Kanto,Kanto,Kanto,관동
関東,かんとう,Konsep,Concept,Ý tưởng,관념
観念,かんねん,bersulang,cheers,Chúc mừng!,건배
乾杯,かんぱい,papan nama,signboard,bảng hiệu,간판
看板,かんばん,perawatan,nursing,điều dưỡng,간병
看病,かんびょう,mahkota,crown,vương miện,왕관
冠,かんむり,Kanwa,Kanwa,Kanwa,한화
漢和,かんわ,tekanan atmosfer,atmospheric pressure,áp suất khí quyển,기압
気圧,きあつ,instrumen,instrument,dụng cụ,계기
器械,きかい,Pakaian ganti,Change of clothes,Thay quần áo,갈아입기
着替え,きがえ,lokomotif,locomotive,đầu máy xe lửa,기관차
機関車,きかんしゃ,kelaparan,famine,nạn đói,기근
飢饉,ききん,Peralatan,Equipment,Thiết bị,기구
器具,きぐ,tenggat waktu,deadline,thời hạn,마감
期限,きげん,simbol,symbol,biểu tượng,기호
記号,きごう,mengukir,carve,chạm khắc,새기다
刻む,きざむ,upacara,ritual,nghi thức,의식
儀式,ぎしき,standar,standard,tiêu chuẩn,기준
基準,きじゅん,Standar,Standards,Tiêu chuẩn,표준
規準,きじゅん,bangun,wake up,thức dậy,기상
起床,きしょう,Gaun,Dress,Đầm,입는다
着せる,きせる,dasar-dasar,basics,những điều cơ bản,기초
基礎,きそ,gas,gas,khí,기체
気体,きたい,basis,base,căn cứ,기지
基地,きち,peluang,chance,cơ hội,계기
きっかけ,きっかけ,Dikemas rapat,Packed tightly,Đóng gói chặt chẽ,힘들다
ぎっしり,ぎっしり,dasar,basis,cơ sở,기초
基盤,きばん,tempat duduk penonton,audience seats,chỗ ngồi khán giả,객석
客席,きゃくせき,Kamar tamu,Guest room,Phòng khách,고객 간
客間,きゃくま,gang,gang,băng đảng,갱
ギャング,ギャング,kampus,campus,khuôn viên đại học,캠퍼스
キャンパス,キャンパス,Tertutup,Closed,Đóng cửa,휴업
休業,きゅうぎょう,Kelas dibatalkan,Class cancelled,Lớp học bị hủy,휴강
休講,きゅうこう,istirahat,rest,nghỉ ngơi,휴식
休息,きゅうそく,gaji,salary,lương,급여
給与,きゅうよ,istirahat,rest,nghỉ ngơi,휴식
休養,きゅうよう,murni,pure,nguyên chất,깨끗한
清い,きよい,bantuan,reinforcement,gia cố,강화
強化,きょうか,batas,boundary,ranh giới,경계
境界,きょうかい,Acara,Events,Sự kiện,행사
行事,ぎょうじ,saya minta maaf,I am sorry,Tôi xin lỗi,공감
恐縮,きょうしゅく,pendidikan,education,giáo dục,교양
教養,きょうよう,matriks,matrix,ma trận,행렬
行列,ぎょうれつ,penangkapan ikan,fishing,câu cá,어업
漁業,ぎょぎょう,melengkung,curve,đường cong,커브
曲線,きょくせん,disiplin,discipline,kỷ luật,규율
規律,きりつ,membunuh,kill,giết,베다
斬る,きる,Hati-hati,Be careful,Hãy cẩn thận,조심하다
気を付ける,きをつける,ikan mas,goldfish,cá vàng,금붕어
