Kanji,Reading,Kanji,Kanji,Kanji,Kanji
あっ,あっ,Ah,love,yêu,사랑
愛,あい,Cinta,greeting,lời chào,인사
挨拶,あいさつ,salam,love,yêu,애정
愛情,あいじょう,Cinta,sign,dấu hiệu,신호
合図,あいず,tanda,ice cream,kem,아이스크림
アイスクリーム,アイスクリーム,es krim,love,yêu,사랑하다
愛する,あいする,Cinta,partner,cộng sự,상대
相手,あいて,mitra,Unfortunately,Không may,불행히도
あいにく,あいにく,Sayangnya,iron,sắt,다림질
アイロン,アイロン,besi,Out,Ngoài,아웃
アウト,アウト,Keluar,lamp,đèn,불빛
明かり,あかり,lampu,Vacant,Trống,무료
空き,あき,Kosong,clear,thông thoáng,분명
明らか,あきらか,jernih,give up,bỏ cuộc,포기하다
諦める,あきらめる,menyerah,I get bored,Tôi thấy chán,지루하다
飽きる,あきる,Aku merasa bosan,handshake,bắt tay,악수
握手,あくしゅ,jabat tangan,devil,quỷ dữ,악마
悪魔,あくま,iblis,dawn,bình minh,밝다
明ける,あける,fajar,tomorrow,Ngày mai,내일
あした,あした,besok,deposit,tiền gửi,맡기다
預ける,あずける,deposito,sweat,mồ hôi,땀
汗,あせ,keringat,give,đưa cho,주는
与える,あたえる,memberi,around,xung quanh,주변
辺り,あたり,sekitar,Hit,Đánh,맞다
当たる,あたる,Memukul,Here and there,Ở đây đó,여기저기
あちこち,あちこち,Di sana sini,handle,xử lý,취급하다
扱う,あつかう,menangani,gathering,tụ họp,모임
集まり,あつまり,mengumpulkan,hit,đánh,맞추다
当てる,あてる,memukul,Traces,Dấu vết,흔적
跡,あと,Jejak,After,Sau đó,나중에
あと,あと,Setelah,hole,hố,구멍
穴,あな,lubang,bathe,tắm,목욕하다
浴びる,あびる,mandi,oil,dầu,기름
油,あぶら,minyak,remainder,phần còn lại,너무
余り,あまり,sisa,error,lỗi,실수
誤り,あやまり,kesalahan,Coarse,Thô,거친
粗,あら,Kasar,storm,bão,폭풍
嵐,あらし,badai,new,mới,새로운
新た,あらた,baru,every,mọi,모든
あらゆる,あらゆる,setiap,represent,đại diện,대표
表す,あらわす,mewakili,reveal,tiết lộ,표현하다
現す,あらわす,mengungkap,Appear,Xuất hiện,나타나다
現れ,あらわれ,Muncul,appear,xuất hiện,나타나다
現れる,あらわれる,muncul,thank you,Cảm ơn,감사합니다
ありがとう,ありがとう,Terima kasih,Yes,Đúng,있다
有る,ある,Ya,Some,Một số,또는
或,ある,Beberapa,or,hoặc,또는
あるいは,あるいは,atau,album,album,앨범
アルバム,アルバム,album,foam,bọt,거품
泡,あわ,busa,match,cuộc thi đấu,맞추다
合わせる,あわせる,cocok,pitiful,thương tâm,불쌍한
哀れ,あわれ,menyedihkan,proposal,đề xuất,안
案,あん,usul,memorization,ghi nhớ,암기
暗記,あんき,menghafal,Stability,Sự ổn định,안정
