Kanji,Reading,Kanji,Kanji,Kanji,Kanji
嗚呼,ああ,Oh,Oh,Ồ,嗚呼
相,あい,fase,phase,giai đoạn,상
相変わらず,あいかわらず,Seperti biasanya,As usual,Như thường lệ,변함없이
愛想,あいそ,Keramahan,Friendliness,Sự thân thiện,사랑
相対,あいたい,relatif,relative,liên quan đến,상대
間柄,あいだがら,hubungan,relationship,mối quan hệ,무늬
愛憎,あいにく,Cinta dan Benci,Love and hate,Tình yêu và lòng căm thù,애증
合間,あいま,selang,interval,khoảng thời gian,틈새
曖昧,あいまい,ambigu,ambiguous,mơ hồ,모호하다
敢えて,あえて,berani,dare,dám,감히
仰ぐ,あおぐ,Melihat ke atas,Looking up,Nhìn lên,부르다
垢,あか,kotoran,filth,bẩn thỉu,垢
亜科,あか,subfamili,subfamily,phân họ,아과
銅,あかがね,tembaga,copper,đồng,구리
証,あかし,bukti,proof,bằng chứng,증거
赤字,あかじ,defisit,deficit,thâm hụt,적자
明かす,あかす,Mengungkap,Reveal,Tiết lộ,밝히다
赤ちゃん,あかちゃん,Sayang,baby,Đứa bé,아기
明白,あからさま,jelas,obvious,rõ ràng,명백한
赤らむ,あからむ,memerah,reddening,đỏ ửng,붉은
明るい,あかるい,terang,bright,sáng,밝은
上がり,あがり,Ke atas,Up,Hướng lên,상승
上がる,あがる,bangkit,rise,tăng lên,오르다
商人,あきうど,pedagang,merchant,thương nhân,상인
空間,あきま,ruang angkasa,space,không gian,공간
諦め,あきらめ,Menyerah,Giving up,Từ bỏ,포기
呆れる,あきれる,Saya merasa ngeri.,I'm appalled.,Tôi vô cùng kinh ngạc.,어리석다
悪,あく,kejahatan,evil,độc ác,악
灰,あく,abu,ash,tro,재
あくどい,あくどい,jahat,wicked,độc ác,아쿠도이
悪日,あくび,Hari yang buruk,Bad day,Một ngày tồi tệ,나쁜 날
明くる,あくる,Keesokan harinya,The next day,Ngày hôm sau,밝다
憧れ,あこがれ,kerinduan,longing,khao khát,동경
顎,あご,rahang,jaw,hàm,턱
麻,あさ,rami,hemp,cây gai dầu,대마
明後日,あさって,lusa,the day after tomorrow,ngày kia,내일
朝寝坊,あさねぼう,Ketiduran,Overslept,Ngủ quên,아침 잠자는
浅ましい,あさましい,Tercela,Despicable,Đáng khinh,얕은
字,あざ,karakter,character,tính cách,글자
欺く,あざむく,menaburkan debu ke mata,throw dust in eyes,ném bụi vào mắt,속임수
鮮やか,あざやか,jelas,vivid,sống động,생생한
あざ笑う,あざわらう,mengejek,mocking,chế giễu,타박상 웃음
味わい,あじわい,Rasa,Flavor,Hương vị,맛
東,あずま,timur,east,phía đông,동쪽
焦る,あせる,panik,panic,hoảng loạn,초조하다
彼処,あそこ,Tempat itu,That place,Nơi đó,그 처
値,あたい,nilai,value,giá trị,값
値する,あたいする,Layak,Deserving,Xứng đáng,가치하다
私,あたし,SAYA,I,TÔI,나
当たり,あたり,Pemenang,Winner,Người chiến thắng,히트
当たり前,あたりまえ,jelas,obvious,rõ ràng,당연한
他人,あだびと,yang lain,others,người khác,타인
彼方此方,あちこち,"Ke sini, ke sini","Over here, over here","Ở đây, ở đây",그분 이기
彼方,あちら,Di luar,Beyond,Vượt ra,그분
彼方此方,あちらこちら,"Ke sini, ke sini","Over here, over here","Ở đây, ở đây",그분 이기
悪化,あっか,Memburuk,Worsening,Tình trạng ngày càng xấu đi,악화
呆気ない,あっけない,Rasanya kurang seru.,It was anticlimactic.,Thật là hụt hẫng.,어리석은
悪口,あっこう,Penghinaan,Insults,Lời lăng mạ,욕설
あっさり,あっさり,Lampu,Light,Ánh sáng,아사리
圧迫,あっぱく,kompresi,compression,nén,압박
扱い,あつかい,Penanganan,Handling,Xử lý,취급
集まる,あつまる,berkumpul,get together,tụ họp,모인다
誂える,あつらえる,dibuat sesuai pesanan,to be made to order,được làm theo đơn đặt hàng,뛰다
圧力,あつりょく,tekanan,pressure,áp lực ,압력
当て,あて,Tebakan,Guess,Đoán,맞다
宛,あて,Ke,To,ĐẾN,받다
当て字,あてじ,Padanan fonetik,Phonetic equivalent,Tương đương về mặt ngữ âm,당첨자
当てはまる,あてはまる,menerapkan,apply,áp dụng,적용됨
当てはめる,あてはめる,Menerapkan,Apply,Áp dụng,적용
宛てる,あてる,Alamat,Address,Địa chỉ,받다
跡継ぎ,あとつぎ,ahli waris,heir,người thừa kế,흔적
後回し,あとまわし,menunda,procrastinate,trì hoãn,후회
貴女,あなた,Anda,you,Bạn,귀여움
彼の,あの,Miliknya,His,Của anh ấy,그의
溢れる,あふれる,meluap,overflowing,tràn ngập,넘치다
油絵,あぶらえ,minyak,oil,dầu,유화
炙る,あぶる,penggorengan,toasting,nâng ly chúc mừng,찢다
あべこべ,あべこべ,Kebalikannya,The opposite,Ngược lại,아베코베
甘える,あまえる,Dimanjakan,To be spoiled,Bị nuông chiều,달콤한
甘口,あまくち,Manis,Sweet,Ngọt,단맛
雨具,あまぐ,perlengkapan hujan,rain gear,đồ đi mưa,비구
天,あまつ,Surga,Heaven,Thiên đường,하늘
網,あみ,jaringan,network,mạng,그물
天地,あめつち,langit dan bumi,heaven and earth,trời và đất,천지
操る,あやつる,memanipulasi,manipulate,thao túng,조종하다
あやふや,あやふや,tidak jelas,vague,mơ hồ,아야후야
危ぶむ,あやぶむ,Ragu,Doubt,Nghi ngờ,위험하다
過ち,あやまち,Kesalahan,Mistake,Sai lầm,실수
誤る,あやまる,membuat kesalahan,to make a mistake,phạm sai lầm,실수
歩み,あゆみ,Tangga,Steps,Các bước,걸음
歩む,あゆむ,berjalan,walk,đi bộ,걷다
あら,あら,kesalahan,fault,lỗi,어머
予め,あらかじめ,Di muka,In advance,Trước,미리
荒らす,あらす,perusakan,vandalism,phá hoại,거칠다
粗筋,あらすじ,Ringkasan,Synopsis,Tóm tắt,거친 근육
争い,あらそい,konflik,conflict,xung đột,싸움
改まる,あらたまる,mengubah,change,thay đổi,개조하다
荒っぽい,あらっぽい,kasar,rough,thô,거친
凡ゆる,あらゆる,semua,all,tất cả,범유루
あられ,あられ,memanggil,hail,kêu,아레
現われ,あらわれ,Muncul,Appear,Xuất hiện,나타나는
現われる,あらわれる,muncul,appear,xuất hiện,나타나는
有難う,ありがとう,Terima kasih,Thank you,Cảm ơn,고맙다
有様,ありさま,Situasi,Situation,Tình huống,유양
有りのまま,ありのまま,Seperti itulah,As it is,Như vậy,그대로
